CODE_DEP,DÉPARTEMENT,CODE_COM,COMMUNE,Inscrits,Abstentions,Votants,Blancs_et_nuls,Exprimés,Voix_oui,Pourcent_oui,Voix_non,Pourcent_non
13,BOUCHES DU RHONE,40,Fuveau,5 505,1 160,4 345,82,4 263,1 801,"42,25 %",2 462,"57,75 %"
13,BOUCHES DU RHONE,41,Gardanne,14 255,4 653,9 602,174,9 428,2 511,"26,63 %",6 917,"73,37 %"
13,BOUCHES DU RHONE,42,Gémenos,4 814,1 289,3 525,74,3 451,1 740,"50,42 %",1 711,"49,58 %"
13,BOUCHES DU RHONE,43,Gignac-la-Nerthe,6 905,2 342,4 563,68,4 495,1 246,"27,72 %",3 249,"72,28 %"
13,BOUCHES DU RHONE,44,Grans,3 210,714,2 496,45,2 451,962,"39,25 %",1 489,"60,75 %"
13,BOUCHES DU RHONE,45,Graveson,2 638,767,1 871,36,1 835,660,"35,97 %",1 175,"64,03 %"
13,BOUCHES DU RHONE,46,Gréasque,2 815,672,2 143,43,2 100,718,"34,19 %",1 382,"65,81 %"
13,BOUCHES DU RHONE,47,Istres,27 221,6 996,20 225,400,19 825,6 283,"31,69 %",13 542,"68,31 %"
13,BOUCHES DU RHONE,48,Jouques,3 042,723,2 319,44,2 275,847,"37,23 %",1 428,"62,77 %"
13,BOUCHES DU RHONE,49,Lamanon,1 315,287,1 028,19,1 009,425,"42,12 %",584,"57,88 %"
13,BOUCHES DU RHONE,50,Lambesc,5 884,1 526,4 358,86,4 272,1 901,"44,50 %",2 371,"55,50 %"
13,BOUCHES DU RHONE,51,Lançon-Provence,5 191,1 600,3 591,84,3 507,1 277,"36,41 %",2 230,"63,59 %"
13,BOUCHES DU RHONE,52,Maillane,1 454,353,1 101,35,1 066,405,"37,99 %",661,"62,01 %"
13,BOUCHES DU RHONE,53,Mallemort,3 892,1 214,2 678,71,2 607,865,"33,18 %",1 742,"66,82 %"
13,BOUCHES DU RHONE,54,Marignane,21 422,7 490,13 932,209,13 723,4 049,"29,51 %",9 674,"70,49 %"
13,BOUCHES DU RHONE,55,Marseille,434 210,148 058,286 152,4 308,281 844,109 431,"38,83 %",172 413,"61,17 %"
13,BOUCHES DU RHONE,56,Martigues,30 814,8 237,22 577,396,22 181,6 334,"28,56 %",15 847,"71,44 %"
13,BOUCHES DU RHONE,57,Mas-Blanc-des-Alpilles,324,75,249,6,243,94,"38,68 %",149,"61,32 %"
13,BOUCHES DU RHONE,58,Maussane-les-Alpilles,1 567,423,1 144,19,1 125,550,"48,89 %",575,"51,11 %"
13,BOUCHES DU RHONE,59,Meyrargues,2 508,777,1 731,45,1 686,645,"38,26 %",1 041,"61,74 %"
13,BOUCHES DU RHONE,60,Meyreuil,3 504,858,2 646,52,2 594,1 025,"39,51 %",1 569,"60,49 %"
13,BOUCHES DU RHONE,61,Saint-Pierre-de-Mézoargues,227,48,179,6,173,73,"42,20 %",100,"57,80 %"
13,BOUCHES DU RHONE,62,Mimet,3 268,790,2 478,32,2 446,938,"38,35 %",1 508,"61,65 %"
13,BOUCHES DU RHONE,63,Miramas,14 511,4 240,10 271,196,10 075,2 577,"25,58 %",7 498,"74,42 %"
13,BOUCHES DU RHONE,64,Mollégès,1 659,444,1 215,33,1 182,407,"34,43 %",775,"65,57 %"
13,BOUCHES DU RHONE,65,Mouriès,2 213,533,1 680,43,1 637,553,"33,78 %",1 084,"66,22 %"
13,BOUCHES DU RHONE,66,Noves,3 674,908,2 766,69,2 697,851,"31,55 %",1 846,"68,45 %"
13,BOUCHES DU RHONE,67,Orgon,1 662,505,1 157,23,1 134,341,"30,07 %",793,"69,93 %"
13,BOUCHES DU RHONE,68,Paradou,954,209,745,19,726,350,"48,21 %",376,"51,79 %"
13,BOUCHES DU RHONE,69,Pélissanne,7 191,2 181,5 010,101,4 909,2 385,"48,58 %",2 524,"51,42 %"
13,BOUCHES DU RHONE,70,La Penne-sur-Huveaune,4 299,1 202,3 097,44,3 053,899,"29,45 %",2 154,"70,55 %"
13,BOUCHES DU RHONE,71,Les Pennes-Mirabeau,16 123,5 146,10 977,196,10 781,3 385,"31,40 %",7 396,"68,60 %"
13,BOUCHES DU RHONE,72,Peynier,2 225,539,1 686,39,1 647,771,"46,81 %",876,"53,19 %"
13,BOUCHES DU RHONE,73,Peypin,3 567,883,2 684,41,2 643,867,"32,80 %",1 776,"67,20 %"
13,BOUCHES DU RHONE,74,Peyrolles-en-Provence,2 909,967,1 942,36,1 906,761,"39,93 %",1 145,"60,07 %"
13,BOUCHES DU RHONE,75,Plan-de-Cuques,8 460,2 476,5 984,97,5 887,2 182,"37,06 %",3 705,"62,94 %"
13,BOUCHES DU RHONE,76,Plan-d'Orgon,1 871,508,1 363,40,1 323,412,"31,14 %",911,"68,86 %"
13,BOUCHES DU RHONE,77,Port-de-Bouc,10 767,3 500,7 267,68,7 199,1 062,"14,75 %",6 137,"85,25 %"
13,BOUCHES DU RHONE,78,Port-Saint-Louis-du-Rhône,5 830,1 498,4 332,62,4 270,717,"16,79 %",3 553,"83,21 %"
13,BOUCHES DU RHONE,79,Puyloubier,1 051,237,814,16,798,382,"47,87 %",416,"52,13 %"
13,BOUCHES DU RHONE,80,Le Puy-Sainte-Réparade,3 617,939,2 678,64,2 614,1 053,"40,28 %",1 561,"59,72 %"
13,BOUCHES DU RHONE,81,Rognac,8 347,2 738,5 609,120,5 489,1 712,"31,19 %",3 777,"68,81 %"
13,BOUCHES DU RHONE,82,Rognes,3 389,891,2 498,38,2 460,1 188,"48,29 %",1 272,"51,71 %"
13,BOUCHES DU RHONE,83,Rognonas,2 779,517,2 262,76,2 186,860,"39,34 %",1 326,"60,66 %"
13,BOUCHES DU RHONE,84,La Roque-d'Anthéron,2 930,927,2 003,48,1 955,772,"39,49 %",1 183,"60,51 %"
13,BOUCHES DU RHONE,85,Roquefort-la-Bédoule,3 880,1 135,2 745,50,2 695,1 032,"38,29 %",1 663,"61,71 %"
13,BOUCHES DU RHONE,86,Roquevaire,6 020,1 668,4 352,92,4 260,1 754,"41,17 %",2 506,"58,83 %"
13,BOUCHES DU RHONE,87,Rousset,2 899,620,2 279,42,2 237,905,"40,46 %",1 332,"59,54 %"
13,BOUCHES DU RHONE,88,Le Rove,3 466,707,2 759,25,2 734,435,"15,91 %",2 299,"84,09 %"
13,BOUCHES DU RHONE,89,Saint-Andiol,1 934,541,1 393,33,1 360,395,"29,04 %",965,"70,96 %"
13,BOUCHES DU RHONE,90,Saint-Antonin-sur-Bayon,150,31,119,2,117,81,"69,23 %",36,"30,77 %"
13,BOUCHES DU RHONE,91,Saint-Cannat,3 957,994,2 963,79,2 884,1 384,"47,99 %",1 500,"52,01 %"
13,BOUCHES DU RHONE,92,Saint-Chamas,4 867,1 351,3 516,61,3 455,1 136,"32,88 %",2 319,"67,12 %"
13,BOUCHES DU RHONE,93,Saint-Estève-Janson,235,36,199,4,195,80,"41,03 %",115,"58,97 %"
13,BOUCHES DU RHONE,94,Saint-Etienne-du-Grès,1 661,369,1 292,29,1 263,532,"42,12 %",731,"57,88 %"
13,BOUCHES DU RHONE,95,Saint-Marc-Jaumegarde,914,208,706,17,689,429,"62,26 %",260,"37,74 %"
13,BOUCHES DU RHONE,96,Saintes-Maries-de-la-Mer,2 518,628,1 890,34,1 856,735,"39,60 %",1 121,"60,40 %"
13,BOUCHES DU RHONE,97,Saint-Martin-de-Crau,8 023,1 938,6 085,122,5 963,2 251,"37,75 %",3 712,"62,25 %"
13,BOUCHES DU RHONE,98,Saint-Mitre-les-Remparts,4 369,1 205,3 164,64,3 100,1 160,"37,42 %",1 940,"62,58 %"
13,BOUCHES DU RHONE,99,Saint-Paul-lès-Durance,655,149,506,14,492,113,"22,97 %",379,"77,03 %"
13,BOUCHES DU RHONE,100,Saint-Rémy-de-Provence,7 532,2 237,5 295,156,5 139,1 900,"36,97 %",3 239,"63,03 %"
13,BOUCHES DU RHONE,101,Saint-Savournin,1 918,464,1 454,16,1 438,442,"30,74 %",996,"69,26 %"
13,BOUCHES DU RHONE,102,Saint-Victoret,4 337,1 408,2 929,69,2 860,815,"28,50 %",2 045,"71,50 %"
13,BOUCHES DU RHONE,103,Salon-de-Provence,24 009,6 816,17 193,422,16 771,7 222,"43,06 %",9 549,"56,94 %"
13,BOUCHES DU RHONE,104,Sausset-les-Pins,6 111,1 692,4 419,78,4 341,1 888,"43,49 %",2 453,"56,51 %"
13,BOUCHES DU RHONE,105,Sénas,3 882,985,2 897,70,2 827,828,"29,29 %",1 999,"70,71 %"
13,BOUCHES DU RHONE,106,Septèmes-les-Vallons,7 361,2 013,5 348,81,5 267,1 153,"21,89 %",4 114,"78,11 %"
13,BOUCHES DU RHONE,107,Simiane-Collongue,3 837,900,2 937,48,2 889,1 163,"40,26 %",1 726,"59,74 %"
13,BOUCHES DU RHONE,108,Tarascon,8 807,2 958,5 849,108,5 741,1 790,"31,18 %",3 951,"68,82 %"
13,BOUCHES DU RHONE,109,Le Tholonet,1 671,371,1 300,26,1 274,797,"62,56 %",477,"37,44 %"
13,BOUCHES DU RHONE,110,Trets,6 862,1 762,5 100,103,4 997,1 928,"38,58 %",3 069,"61,42 %"
13,BOUCHES DU RHONE,111,Vauvenargues,598,114,484,5,479,256,"53,44 %",223,"46,56 %"
13,BOUCHES DU RHONE,112,Velaux,5 969,1 465,4 504,89,4 415,1 864,"42,22 %",2 551,"57,78 %"
13,BOUCHES DU RHONE,113,Venelles,6 532,1 556,4 976,85,4 891,2 640,"53,98 %",2 251,"46,02 %"
13,BOUCHES DU RHONE,114,Ventabren,3 782,871,2 911,44,2 867,1 653,"57,66 %",1 214,"42,34 %"
13,BOUCHES DU RHONE,115,Vernègues,862,235,627,18,609,229,"37,60 %",380,"62,40 %"
13,BOUCHES DU RHONE,116,Verquières,558,114,444,13,431,149,"34,57 %",282,"65,43 %"
13,BOUCHES DU RHONE,117,Vitrolles,21 717,7 039,14 678,251,14 427,4 293,"29,76 %",10 134,"70,24 %"
13,BOUCHES DU RHONE,118,Coudoux,2 360,596,1 764,29,1 735,836,"48,18 %",899,"51,82 %"
13,BOUCHES DU RHONE,119,Carnoux-en-Provence,4 764,1 348,3 416,65,3 351,1 462,"43,63 %",1 889,"56,37 %"
14,CALVADOS,1,Ablon,820,182,638,7,631,246,"38,99 %",385,"61,01 %"
14,CALVADOS,2,Acqueville,135,20,115,0,115,46,"40,00 %",69,"60,00 %"
14,CALVADOS,3,Agy,213,54,159,2,157,73,"46,50 %",84,"53,50 %"
14,CALVADOS,4,Aignerville,108,22,86,2,84,26,"30,95 %",58,"69,05 %"
14,CALVADOS,5,Airan,471,134,337,5,332,132,"39,76 %",200,"60,24 %"
14,CALVADOS,6,Amayé-sur-Orne,715,148,567,13,554,268,"48,38 %",286,"51,62 %"
14,CALVADOS,7,Amayé-sur-Seulles,146,36,110,1,109,35,"32,11 %",74,"67,89 %"
14,CALVADOS,8,Amblie,203,43,160,2,158,85,"53,80 %",73,"46,20 %"
14,CALVADOS,9,Amfreville,874,199,675,15,660,307,"46,52 %",353,"53,48 %"
14,CALVADOS,11,Anctoville,699,189,510,11,499,172,"34,47 %",327,"65,53 %"
14,CALVADOS,12,Angerville,103,24,79,2,77,25,"32,47 %",52,"67,53 %"
14,CALVADOS,13,Angoville,23,3,20,0,20,15,"75,00 %",5,"25,00 %"
14,CALVADOS,14,Anguerny,544,116,428,10,418,253,"60,53 %",165,"39,47 %"
14,CALVADOS,15,Anisy,563,134,429,7,422,267,"63,27 %",155,"36,73 %"
14,CALVADOS,16,Annebault,319,89,230,4,226,79,"34,96 %",147,"65,04 %"
14,CALVADOS,19,Arganchy,176,43,133,1,132,56,"42,42 %",76,"57,58 %"
14,CALVADOS,20,Argences,2 443,727,1 716,34,1 682,728,"43,28 %",954,"56,72 %"
14,CALVADOS,21,Arromanches-les-Bains,469,122,347,2,345,191,"55,36 %",154,"44,64 %"
14,CALVADOS,22,Asnelles,513,130,383,3,380,143,"37,63 %",237,"62,37 %"
14,CALVADOS,23,Asnières-en-Bessin,54,15,39,1,38,25,"65,79 %",13,"34,21 %"
14,CALVADOS,24,Auberville,227,44,183,4,179,65,"36,31 %",114,"63,69 %"
14,CALVADOS,25,Aubigny,256,45,211,3,208,56,"26,92 %",152,"73,08 %"
14,CALVADOS,26,Audrieu,680,131,549,14,535,168,"31,40 %",367,"68,60 %"
14,CALVADOS,27,Aunay-sur-Odon,1 790,543,1 247,41,1 206,429,"35,57 %",777,"64,43 %"
14,CALVADOS,28,Auquainville,226,65,161,3,158,72,"45,57 %",86,"54,43 %"
14,CALVADOS,29,Les Autels-Saint-Bazile,51,8,43,0,43,16,"37,21 %",27,"62,79 %"
14,CALVADOS,30,Authie,981,177,804,12,792,438,"55,30 %",354,"44,70 %"
14,CALVADOS,31,Les Authieux-Papion,65,10,55,0,55,30,"54,55 %",25,"45,45 %"
14,CALVADOS,32,Les Authieux-sur-Calonne,236,65,171,1,170,83,"48,82 %",87,"51,18 %"
14,CALVADOS,33,Auvillars,140,20,120,4,116,52,"44,83 %",64,"55,17 %"
14,CALVADOS,34,Avenay,377,105,272,6,266,132,"49,62 %",134,"50,38 %"
14,CALVADOS,35,Balleroy,515,168,347,5,342,111,"32,46 %",231,"67,54 %"
14,CALVADOS,36,Banneville-la-Campagne,71,16,55,0,55,20,"36,36 %",35,"63,64 %"
14,CALVADOS,37,Banneville-sur-Ajon,294,59,235,4,231,92,"39,83 %",139,"60,17 %"
14,CALVADOS,38,Banville,417,129,288,7,281,104,"37,01 %",177,"62,99 %"
14,CALVADOS,39,Barbery,393,101,292,4,288,82,"28,47 %",206,"71,53 %"
14,CALVADOS,40,Barbeville,126,28,98,1,97,34,"35,05 %",63,"64,95 %"
14,CALVADOS,41,Barneville-la-Bertran,124,13,111,2,109,53,"48,62 %",56,"51,38 %"
14,CALVADOS,42,Baron-sur-Odon,578,136,442,14,428,208,"48,60 %",220,"51,40 %"
14,CALVADOS,43,Barou-en-Auge,71,14,57,2,55,34,"61,82 %",21,"38,18 %"
14,CALVADOS,44,Basly,615,172,443,14,429,195,"45,45 %",234,"54,55 %"
14,CALVADOS,45,Basseneville,211,52,159,3,156,76,"48,72 %",80,"51,28 %"
14,CALVADOS,46,Bavent,1 128,301,827,9,818,278,"33,99 %",540,"66,01 %"
14,CALVADOS,47,Bayeux,9 287,2 984,6 303,125,6 178,3 017,"48,83 %",3 161,"51,17 %"
14,CALVADOS,49,Bazenville,123,22,101,0,101,49,"48,51 %",52,"51,49 %"
14,CALVADOS,50,La Bazoque,122,23,99,1,98,41,"41,84 %",57,"58,16 %"
14,CALVADOS,52,Beaulieu,153,50,103,2,101,40,"39,60 %",61,"60,40 %"
14,CALVADOS,53,Beaumais,152,43,109,2,107,39,"36,45 %",68,"63,55 %"
14,CALVADOS,54,Beaumesnil,139,27,112,4,108,36,"33,33 %",72,"66,67 %"
14,CALVADOS,55,Beaumont-en-Auge,384,97,287,4,283,136,"48,06 %",147,"51,94 %"
14,CALVADOS,56,Bauquay,152,34,118,4,114,31,"27,19 %",83,"72,81 %"
14,CALVADOS,57,Bellengreville,998,235,763,13,750,204,"27,20 %",546,"72,80 %"
14,CALVADOS,58,Bellou,116,35,81,1,80,32,"40,00 %",48,"60,00 %"
14,CALVADOS,59,Benerville-sur-Mer,399,110,289,4,285,179,"62,81 %",106,"37,19 %"
14,CALVADOS,60,Bénouville,1 322,261,1 061,16,1 045,515,"49,28 %",530,"50,72 %"
14,CALVADOS,61,Le Bény-Bocage,820,301,519,13,506,222,"43,87 %",284,"56,13 %"
14,CALVADOS,62,Bény-sur-Mer,227,50,177,5,172,98,"56,98 %",74,"43,02 %"
14,CALVADOS,63,Bernesq,152,38,114,1,113,38,"33,63 %",75,"66,37 %"
14,CALVADOS,64,Bernières-d'Ailly,149,38,111,1,110,35,"31,82 %",75,"68,18 %"
14,CALVADOS,65,Bernières-le-Patry,388,99,289,9,280,108,"38,57 %",172,"61,43 %"
14,CALVADOS,66,Bernières-sur-Mer,1 692,479,1 213,20,1 193,529,"44,34 %",664,"55,66 %"
14,CALVADOS,68,Biéville-Beuville,1 946,436,1 510,31,1 479,914,"61,80 %",565,"38,20 %"
14,CALVADOS,69,Beuvillers,810,193,617,9,608,226,"37,17 %",382,"62,83 %"
14,CALVADOS,70,Beuvron-en-Auge,199,52,147,1,146,73,"50,00 %",73,"50,00 %"
14,CALVADOS,73,La Bigne,153,50,103,2,101,33,"32,67 %",68,"67,33 %"
14,CALVADOS,74,Billy,229,47,182,4,178,67,"37,64 %",111,"62,36 %"
14,CALVADOS,75,Bissières,139,25,114,2,112,43,"38,39 %",69,"61,61 %"
14,CALVADOS,76,Blainville-sur-Orne,3 738,1 005,2 733,54,2 679,882,"32,92 %",1 797,"67,08 %"
14,CALVADOS,77,Blangy-le-Château,469,118,351,8,343,186,"54,23 %",157,"45,77 %"
14,CALVADOS,78,Blay,208,44,164,5,159,47,"29,56 %",112,"70,44 %"
14,CALVADOS,79,Blonville-sur-Mer,1 131,271,860,19,841,453,"53,86 %",388,"46,14 %"
14,CALVADOS,80,Le Bô,94,17,77,1,76,18,"23,68 %",58,"76,32 %"
14,CALVADOS,81,Boissey,149,61,88,1,87,37,"42,53 %",50,"57,47 %"
14,CALVADOS,82,La Boissière,107,30,77,4,73,21,"28,77 %",52,"71,23 %"
14,CALVADOS,83,Bonnebosq,520,135,385,5,380,147,"38,68 %",233,"61,32 %"
14,CALVADOS,84,Bonnemaison,272,67,205,6,199,59,"29,65 %",140,"70,35 %"
14,CALVADOS,85,Bonneville-la-Louvet,603,153,450,13,437,205,"46,91 %",232,"53,09 %"
14,CALVADOS,86,Bonneville-sur-Touques,292,77,215,6,209,116,"55,50 %",93,"44,50 %"
14,CALVADOS,87,Bonnoeil,98,18,80,8,72,31,"43,06 %",41,"56,94 %"
14,CALVADOS,88,Bons-Tassilly,327,96,231,7,224,64,"28,57 %",160,"71,43 %"
14,CALVADOS,89,Bougy,226,50,176,9,167,61,"36,53 %",106,"63,47 %"
14,CALVADOS,90,Boulon,370,82,288,8,280,108,"38,57 %",172,"61,43 %"
14,CALVADOS,91,Bourgeauville,156,46,110,1,109,57,"52,29 %",52,"47,71 %"
14,CALVADOS,92,Bourguébus,801,248,553,8,545,212,"38,90 %",333,"61,10 %"
14,CALVADOS,93,Branville,137,38,99,6,93,42,"45,16 %",51,"54,84 %"
14,CALVADOS,96,Brémoy,171,36,135,6,129,31,"24,03 %",98,"75,97 %"
14,CALVADOS,97,Bretteville-le-Rabet,181,41,140,2,138,52,"37,68 %",86,"62,32 %"
14,CALVADOS,98,Bretteville-l'Orgueilleuse,1 595,380,1 215,31,1 184,521,"44,00 %",663,"56,00 %"
14,CALVADOS,99,Bretteville-sur-Dives,238,56,182,5,177,54,"30,51 %",123,"69,49 %"
14,CALVADOS,100,Bretteville-sur-Laize,1 031,212,819,12,807,317,"39,28 %",490,"60,72 %"
14,CALVADOS,101,Bretteville-sur-Odon,3 060,646,2 414,44,2 370,1 398,"58,99 %",972,"41,01 %"
14,CALVADOS,102,Le Breuil-en-Auge,654,144,510,13,497,269,"54,12 %",228,"45,88 %"
14,CALVADOS,103,Le Breuil-en-Bessin,206,46,160,8,152,63,"41,45 %",89,"58,55 %"
14,CALVADOS,104,Le Brévedent,120,22,98,2,96,44,"45,83 %",52,"54,17 %"
14,CALVADOS,105,La Brévière,100,24,76,2,74,34,"45,95 %",40,"54,05 %"
14,CALVADOS,106,Bréville,486,100,386,9,377,146,"38,73 %",231,"61,27 %"
14,CALVADOS,107,Bricqueville,92,38,54,0,54,27,"50,00 %",27,"50,00 %"
14,CALVADOS,109,Brouay,258,60,198,7,191,58,"30,37 %",133,"69,63 %"
14,CALVADOS,110,Brucourt,105,22,83,0,83,47,"56,63 %",36,"43,37 %"
14,CALVADOS,111,Bucéels,252,55,197,5,192,81,"42,19 %",111,"57,81 %"
14,CALVADOS,113,Burcy,242,80,162,3,159,65,"40,88 %",94,"59,12 %"
14,CALVADOS,115,Bures-les-Monts,105,30,75,2,73,29,"39,73 %",44,"60,27 %"
14,CALVADOS,116,Le Bû-sur-Rouvres,73,17,56,0,56,21,"37,50 %",35,"62,50 %"
14,CALVADOS,117,Cabourg,3 201,1 001,2 200,30,2 170,1 075,"49,54 %",1 095,"50,46 %"
14,CALVADOS,118,Caen,58 563,17 825,40 738,868,39 870,21 823,"54,74 %",18 047,"45,26 %"
14,CALVADOS,119,Cagny,1 116,301,815,24,791,244,"30,85 %",547,"69,15 %"
14,CALVADOS,120,Cahagnes,876,223,653,10,643,249,"38,72 %",394,"61,28 %"
14,CALVADOS,121,Cahagnolles,174,53,121,4,117,41,"35,04 %",76,"64,96 %"
14,CALVADOS,122,La Caine,77,24,53,3,50,15,"30,00 %",35,"70,00 %"
14,CALVADOS,123,Cairon,1 300,317,983,23,960,559,"58,23 %",401,"41,77 %"
14,CALVADOS,124,La Cambe,450,158,292,10,282,104,"36,88 %",178,"63,12 %"
14,CALVADOS,125,Cambes-en-Plaine,1 143,238,905,19,886,534,"60,27 %",352,"39,73 %"
14,CALVADOS,126,Cambremer,878,207,671,5,666,345,"51,80 %",321,"48,20 %"
14,CALVADOS,127,Campagnolles,321,93,228,8,220,64,"29,09 %",156,"70,91 %"
14,CALVADOS,128,Campandré-Valcongrain,81,17,64,0,64,27,"42,19 %",37,"57,81 %"
14,CALVADOS,129,Campeaux,390,126,264,6,258,123,"47,67 %",135,"52,33 %"
14,CALVADOS,130,Campigny,129,42,87,2,85,27,"31,76 %",58,"68,24 %"
14,CALVADOS,131,Canapville,167,35,132,1,131,61,"46,56 %",70,"53,44 %"
14,CALVADOS,132,Canchy,144,45,99,0,99,48,"48,48 %",51,"51,52 %"
14,CALVADOS,134,Canteloup,162,55,107,0,107,40,"37,38 %",67,"62,62 %"
14,CALVADOS,135,Carcagny,229,69,160,1,159,58,"36,48 %",101,"63,52 %"
14,CALVADOS,136,Cardonville,59,15,44,1,43,8,"18,60 %",35,"81,40 %"
14,CALVADOS,137,Carpiquet,1 522,386,1 136,37,1 099,424,"38,58 %",675,"61,42 %"
14,CALVADOS,138,Cartigny-l'Epinay,221,97,124,1,123,48,"39,02 %",75,"60,98 %"
14,CALVADOS,139,Carville,255,73,182,4,178,66,"37,08 %",112,"62,92 %"
14,CALVADOS,140,Castillon,243,63,180,8,172,59,"34,30 %",113,"65,70 %"
14,CALVADOS,141,Castillon-en-Auge,97,25,72,0,72,32,"44,44 %",40,"55,56 %"
14,CALVADOS,142,Castilly,230,87,143,2,141,68,"48,23 %",73,"51,77 %"
14,CALVADOS,143,Caumont-l'Eventé,791,298,493,14,479,204,"42,59 %",275,"57,41 %"
14,CALVADOS,144,Caumont-sur-Orne,70,15,55,1,54,23,"42,59 %",31,"57,41 %"
14,CALVADOS,145,Cauvicourt,293,55,238,4,234,101,"43,16 %",133,"56,84 %"
14,CALVADOS,146,Cauville,117,43,74,1,73,20,"27,40 %",53,"72,60 %"
14,CALVADOS,147,Cernay,99,23,76,2,74,26,"35,14 %",48,"64,86 %"
14,CALVADOS,148,Cerqueux,84,19,65,1,64,18,"28,13 %",46,"71,88 %"
14,CALVADOS,149,Cesny-aux-Vignes-Ouézy,391,98,293,5,288,114,"39,58 %",174,"60,42 %"
14,CALVADOS,150,Cesny-Bois-Halbout,390,102,288,6,282,93,"32,98 %",189,"67,02 %"
14,CALVADOS,151,Champ-du-Boult,315,98,217,4,213,62,"29,11 %",151,"70,89 %"
14,CALVADOS,152,La Chapelle-Engerbold,70,19,51,1,50,16,"32,00 %",34,"68,00 %"
14,CALVADOS,153,La Chapelle-Haute-Grue,31,4,27,2,25,10,"40,00 %",15,"60,00 %"
14,CALVADOS,154,La Chapelle-Yvon,395,113,282,1,281,107,"38,08 %",174,"61,92 %"
14,CALVADOS,155,Cheffreville-Tonnencourt,177,42,135,5,130,45,"34,62 %",85,"65,38 %"
14,CALVADOS,156,Chênedollé,157,43,114,3,111,46,"41,44 %",65,"58,56 %"
14,CALVADOS,157,Cheux,803,176,627,12,615,264,"42,93 %",351,"57,07 %"
14,CALVADOS,158,Chicheboville,387,101,286,6,280,90,"32,14 %",190,"67,86 %"
14,CALVADOS,159,Chouain,158,52,106,5,101,48,"47,52 %",53,"52,48 %"
14,CALVADOS,160,Cintheaux,150,43,107,1,106,44,"41,51 %",62,"58,49 %"
14,CALVADOS,161,Clarbec,271,75,196,8,188,67,"35,64 %",121,"64,36 %"
14,CALVADOS,162,Clécy,931,214,717,17,700,284,"40,57 %",416,"59,43 %"
14,CALVADOS,163,Cléville,238,59,179,3,176,70,"39,77 %",106,"60,23 %"
14,CALVADOS,164,Clinchamps-sur-Orne,710,134,576,11,565,211,"37,35 %",354,"62,65 %"
14,CALVADOS,165,Colleville-sur-Mer,147,36,111,1,110,43,"39,09 %",67,"60,91 %"
14,CALVADOS,166,Colleville-Montgomery,1 879,508,1 371,30,1 341,694,"51,75 %",647,"48,25 %"
14,CALVADOS,167,Colombelles,3 731,1 166,2 565,53,2 512,678,"26,99 %",1 834,"73,01 %"
14,CALVADOS,168,Colombières,170,47,123,4,119,35,"29,41 %",84,"70,59 %"
14,CALVADOS,169,Colombiers-sur-Seulles,128,20,108,0,108,50,"46,30 %",58,"53,70 %"
14,CALVADOS,170,Colomby-sur-Thaon,335,52,283,7,276,179,"64,86 %",97,"35,14 %"
14,CALVADOS,171,Combray,88,22,66,4,62,18,"29,03 %",44,"70,97 %"
14,CALVADOS,172,Commes,353,106,247,8,239,107,"44,77 %",132,"55,23 %"
14,CALVADOS,173,Condé-sur-Ifs,276,46,230,2,228,85,"37,28 %",143,"62,72 %"
14,CALVADOS,174,Condé-sur-Noireau,3 753,1 073,2 680,62,2 618,978,"37,36 %",1 640,"62,64 %"
14,CALVADOS,175,Condé-sur-Seulles,155,41,114,3,111,41,"36,94 %",70,"63,06 %"
14,CALVADOS,176,Conteville,76,10,66,0,66,31,"46,97 %",35,"53,03 %"
14,CALVADOS,177,Coquainvilliers,541,110,431,13,418,182,"43,54 %",236,"56,46 %"
14,CALVADOS,178,Corbon,50,14,36,0,36,12,"33,33 %",24,"66,67 %"
14,CALVADOS,179,Cordebugle,100,30,70,1,69,30,"43,48 %",39,"56,52 %"
14,CALVADOS,180,Cordey,105,24,81,1,80,16,"20,00 %",64,"80,00 %"
14,CALVADOS,181,Cormelles-le-Royal,3 125,812,2 313,59,2 254,943,"41,84 %",1 311,"58,16 %"
14,CALVADOS,182,Cormolain,328,108,220,4,216,76,"35,19 %",140,"64,81 %"
14,CALVADOS,183,Cossesseville,75,25,50,1,49,9,"18,37 %",40,"81,63 %"
14,CALVADOS,184,Cottun,129,29,100,1,99,35,"35,35 %",64,"64,65 %"
14,CALVADOS,185,Coudray-Rabut,275,85,190,4,186,95,"51,08 %",91,"48,92 %"
14,CALVADOS,186,Coulombs,212,46,166,5,161,81,"50,31 %",80,"49,69 %"
14,CALVADOS,187,Coulonces,553,130,423,17,406,162,"39,90 %",244,"60,10 %"
14,CALVADOS,188,Coulvain,201,63,138,4,134,57,"42,54 %",77,"57,46 %"
14,CALVADOS,189,Coupesarte,39,5,34,0,34,14,"41,18 %",20,"58,82 %"
14,CALVADOS,190,Courcy,121,30,91,2,89,39,"43,82 %",50,"56,18 %"
14,CALVADOS,191,Courseulles-sur-Mer,3 147,843,2 304,55,2 249,1 093,"48,60 %",1 156,"51,40 %"
14,CALVADOS,192,Courson,361,99,262,12,250,129,"51,60 %",121,"48,40 %"
14,CALVADOS,193,Courtonne-la-Meurdrac,551,134,417,6,411,159,"38,69 %",252,"61,31 %"
14,CALVADOS,194,Courtonne-les-Deux-Eglises,401,96,305,3,302,102,"33,77 %",200,"66,23 %"
